id,RT_1,RT_2,RT_3,label
icsd_162551,0.11355,0.137281,0.164662,O
icsd_251634,0.138875,0.133151,0.156465,O
icsd_15478,0.063554,0.065816,0.072243,Zn
icsd_96226,0.06839,0.033237,0.046228,Cu
icsd_14202,0.074359,0.058306,0.109016,Ag
icsd_87079,0.097437,0.10075,0.108139,O
icsd_187790,0.108622,0.120401,0.131704,Na
icsd_10231,0.127372,0.155062,0.172177,O
icsd_262711,0.115436,0.121447,0.132843,O
icsd_418372,0.094067,0.097275,0.094148,Cu
icsd_185407,0.071279,0.073781,0.07875,O
icsd_78269,0.046488,0.048222,0.01283,Cu
icsd_67055,0.060874,0.063053,0.069284,Al
icsd_2433,0.147037,0.153584,0.167823,O
icsd_185521,0.148134,0.153018,0.167207,O
icsd_280867,0.100489,0.097425,0.121104,K
icsd_69017,0.090823,0.093931,0.102893,Li
icsd_422975,0.215407,0.159933,0.195925,O
icsd_92581,0.095778,0.098962,0.121518,Na
icsd_81678,0.097712,0.06556,0.110624,Cu
icsd_38416,0.528623,0.497048,0.091967,Li
icsd_195944,0.089741,0.092816,0.038117,Na
icsd_56254,0.040452,0.041999,0.046367,Cu
icsd_74445,0.12204,0.135747,0.242335,O
icsd_170187,0.063735,0.04328,0.057544,Zn
icsd_183709,0.108025,0.111666,0.037408,Ag
icsd_96819,0.145613,0.147279,0.164378,O
icsd_188872,0.136987,0.141526,0.154698,O
icsd_39656,0.114939,0.120254,0.13727,F
icsd_170555,0.132204,0.102237,0.103048,Ag
icsd_290588,0.147793,0.152667,0.166824,O
icsd_163180,0.163696,0.169063,0.184671,O
icsd_74212,0.108008,0.110063,0.122178,O
icsd_96484,0.07376,0.076339,0.1237,Ca
icsd_44273,0.050455,0.052312,0.057592,Li
icsd_91186,0.046276,0.062534,0.052902,Cu
icsd_20666,0.164241,0.169625,0.10083,O
icsd_401689,0.103005,0.079678,0.087379,Cu
icsd_67316,0.073511,0.076082,0.087724,Cu
icsd_174569,0.112782,0.116571,0.146567,K
icsd_181835,0.107518,0.129509,0.119081,O
icsd_245538,0.100363,0.103384,0.092861,O
icsd_247256,0.084075,0.086973,0.094899,Li
icsd_412388,0.127636,0.131885,0.123162,K
icsd_238626,0.171935,0.177557,0.193916,O
icsd_99247,0.118558,0.1153,0.135179,K
icsd_186819,0.097433,0.100746,0.110311,O
icsd_189037,0.125754,0.129945,0.142092,O
icsd_83284,0.104695,0.106254,0.11846,Ag
icsd_402642,0.134142,0.138593,0.167298,K
icsd_33742,0.236126,0.243738,0.284854,O
icsd_252241,0.171219,0.126549,0.195345,O
icsd_21085,0.20303,0.146504,0.183172,O
icsd_54199,0.067884,0.122299,0.100919,Na
icsd_414185,0.058913,0.061032,0.067083,Li
icsd_108863,0.106669,0.110268,0.120675,K
icsd_173119,0.080965,0.084378,0.09183,O
icsd_181983,0.125858,0.130052,0.142209,O
icsd_183710,0.097454,0.100768,0.038029,Ag
icsd_15928,0.258502,0.266983,0.204863,F
icsd_290666,0.083859,0.086751,0.095077,Zn
icsd_55644,0.073781,0.076494,0.081288,Ag
icsd_407015,0.107768,0.092167,0.100973,Na
icsd_6210,0.061622,0.120429,0.091896,Na
icsd_109648,0.208499,0.161254,0.234949,K
icsd_190548,0.084478,0.087389,0.095564,O
icsd_79251,0.101215,0.081953,0.101812,Ag
icsd_65158,0.0807,0.083494,0.068215,Li
icsd_50066,0.131863,0.136243,0.13776,O
icsd_642291,0.078565,0.081293,0.089137,Li
icsd_280100,0.086388,0.089358,0.097752,O
icsd_185361,0.145103,0.149894,0.147082,O
icsd_281177,0.104105,0.107624,0.109765,Na
icsd_196037,0.159413,0.164647,0.165283,O
icsd_245413,0.1071,0.110713,0.101325,Na
icsd_245964,0.050332,0.054989,0.069214,Li
icsd_194859,0.064092,0.063054,0.151978,Na
icsd_161169,0.058958,0.062406,0.064114,Cu
icsd_73276,0.058108,0.060202,0.071426,Li
icsd_88599,0.097345,0.100655,0.10806,O
icsd_19010,0.028513,0.029689,0.030308,Li
icsd_42393,0.06997,0.072432,0.01657,Cu
icsd_195816,0.143994,0.147362,0.142612,O
icsd_71209,0.043345,0.044976,0.043671,Ca
icsd_90907,0.169149,0.157641,0.172238,O
icsd_49008,0.113533,0.140624,0.153716,Cu
icsd_86226,0.16356,0.168922,0.26873,O
icsd_184007,0.1376,0.142158,0.139458,F
icsd_172981,0.09823,0.12174,0.133162,O
icsd_30265,0.065166,0.067478,0.054803,Cu
icsd_55264,0.103302,0.106797,0.116897,Na
icsd_159545,0.140256,0.148243,0.176274,O
icsd_182742,0.158282,0.163481,0.178595,K
icsd_92636,0.14196,0.146653,0.207415,O
icsd_74469,0.139257,0.143866,0.157245,O
icsd_162101,0.155005,0.160102,0.174918,O
icsd_73836,0.07077,0.073256,0.078716,Li
icsd_55666,0.053854,0.09619,0.120805,Ca
icsd_163892,0.145869,0.150683,0.188206,O
icsd_183132,0.163081,0.168429,0.183981,O
icsd_186651,0.152291,0.157304,0.171872,K
icsd_185523,0.147288,0.152146,0.166257,O
icsd_72816,0.093447,0.095439,0.103391,O
icsd_290480,0.148797,0.153702,0.213633,O
icsd_196514,0.111472,0.113636,0.126065,O
icsd_26666,0.048145,0.04993,0.070931,Cu
icsd_93121,0.41676,0.441801,0.304956,O
icsd_180313,0.117321,0.144719,0.168793,O
icsd_194081,0.144286,0.149051,0.14567,O
icsd_78968,0.118876,0.169129,0.15165,Ag
icsd_59938,0.074964,0.066364,0.085096,Zn
icsd_9672,0.122342,0.14302,0.156325,O
icsd_250440,0.07226,0.119611,0.130275,Na
icsd_290233,0.131945,0.136328,0.189418,O
icsd_159068,0.113533,0.137236,0.164496,O
icsd_91776,0.138008,0.142579,0.155844,O
icsd_238618,0.210268,0.217079,0.236934,O
icsd_16926,0.087742,0.090755,0.099308,Li
icsd_65807,0.118148,0.122103,0.133557,Na
icsd_188416,0.079384,0.082107,0.090056,O
icsd_84777,0.122588,0.147947,0.161687,O
icsd_89765,0.139682,0.141319,0.157723,O
icsd_192626,0.261726,0.430744,0.55538,O
icsd_73222,0.062137,0.068402,0.070701,Zn
icsd_202282,0.137768,0.141416,0.155575,O
icsd_380488,0.113932,0.108103,0.118319,O
icsd_425932,0.134515,0.138978,0.151924,O
icsd_50754,0.166879,0.172345,0.188243,K
icsd_31277,0.148723,0.153626,0.137701,O
icsd_280729,0.134554,0.139017,0.151968,O
icsd_152079,0.169924,0.175484,0.193027,O
icsd_158511,0.142554,0.162942,0.178008,O
icsd_300178,0.096354,0.105063,0.1091,Na
icsd_18098,0.152649,0.143872,0.153051,O
icsd_26685,0.145152,0.141842,0.112101,K
icsd_424574,0.135314,0.139801,0.144123,O
icsd_180496,0.125751,0.129942,0.142089,O
icsd_428759,0.143029,0.11263,0.139615,O
icsd_191100,0.11361,0.11412,0.128465,O
icsd_74365,0.132281,0.136674,0.165628,O
icsd_160149,0.105694,0.109349,0.101916,Na
icsd_185299,0.121545,0.109619,0.073105,O
icsd_15334,0.15219,0.1572,0.143968,O
icsd_56862,0.075679,0.069132,0.085899,F
icsd_99296,0.063914,0.066214,0.062329,Cu
icsd_250523,0.227048,0.234379,0.164435,O
icsd_94138,0.133666,0.138102,0.139211,O
icsd_71267,0.059905,0.062055,0.117003,Cu
icsd_98114,0.110098,0.113804,0.089447,O
icsd_245409,0.086219,0.089184,0.095577,Na
icsd_188506,0.127961,0.133485,0.145664,O
icsd_27720,0.078998,0.081739,0.104875,Al
icsd_72100,0.086656,0.073317,0.080456,Li
icsd_100456,0.166364,0.198876,0.223033,O
icsd_425090,0.11412,0.117994,0.141791,O
icsd_156591,0.12788,0.128927,0.144478,O
icsd_290998,0.165332,0.16479,0.188744,O
icsd_423568,0.151185,0.156164,0.14301,O
icsd_189299,0.123212,0.121557,0.13924,O
icsd_107142,0.06386,0.066132,0.072493,Zn
icsd_167314,0.219383,0.149326,0.177427,O
icsd_170859,0.089281,0.081245,0.101162,Al
icsd_54195,0.066106,0.120817,0.099104,Na
icsd_186590,0.11982,0.123827,0.126691,O
icsd_66073,0.160236,0.191797,0.180957,K
icsd_431100,0.120037,0.118648,0.129797,O
icsd_65117,0.108918,0.112587,0.095136,K
icsd_239295,0.208587,0.215345,0.237832,O
icsd_168997,0.247882,0.255859,0.29506,O
icsd_430539,0.248264,0.244515,0.262281,O
icsd_192257,0.257129,0.265392,0.317624,O
icsd_91930,0.151416,0.156402,0.17089,O
icsd_63664,0.151966,0.157999,0.324677,Al
icsd_73200,0.077588,0.071694,0.102008,Li
icsd_280033,0.073629,0.076835,0.083598,K
icsd_52149,0.06396,0.066235,0.06585,Mg
icsd_107308,0.053071,0.055009,0.032445,Al
icsd_290346,0.076161,0.078815,0.08644,F
icsd_74859,0.104895,0.124043,0.136181,Na
icsd_151807,0.059,0.064173,0.099694,Cu
icsd_183902,0.12461,0.128765,0.155973,O
icsd_24434,0.087885,0.090902,0.418283,Na
icsd_83450,0.165639,0.197928,0.221863,O
icsd_170843,0.075771,0.078412,0.0871,Ag
icsd_424886,0.197084,0.203486,0.222139,O
icsd_9608,0.079926,0.082696,0.089807,O
icsd_53843,0.104452,0.107983,0.118188,K
icsd_34408,0.130384,0.139796,0.152815,O
icsd_37255,0.10598,0.109558,0.119902,K
icsd_52024,0.044211,0.045874,0.050585,Al
icsd_251711,0.205741,0.202392,0.234617,O
icsd_10227,0.125838,0.152899,0.171233,O
icsd_428170,0.102453,0.055637,0.058803,O
icsd_15500,0.118016,0.111085,0.118731,Na
icsd_73907,0.112105,0.119778,0.095061,O
icsd_32002,0.155142,0.160243,0.175071,O
icsd_156893,0.103826,0.107336,0.105338,Li
icsd_420405,0.180507,0.186395,0.21529,O
icsd_39392,0.122935,0.126754,0.148129,O
icsd_187931,0.132663,0.137068,0.138041,O
icsd_180936,0.140935,0.145596,0.159128,O
icsd_153449,0.113301,0.136107,0.149391,O
icsd_171932,0.16188,0.16719,0.197629,O
icsd_65456,0.125335,0.129513,0.168969,K
icsd_83387,0.14283,0.14755,0.208386,O
icsd_173015,0.113543,0.166811,0.128389,K
icsd_30294,0.126711,0.142138,0.156468,O
icsd_73491,0.122204,0.126284,0.138108,K
icsd_15336,0.102391,0.105857,0.115874,Na
icsd_160844,0.100394,0.087879,0.104587,O
icsd_239746,0.148036,0.152917,0.170056,O
icsd_9535,0.098416,0.101759,0.108756,K
icsd_412642,0.146963,0.151811,0.165893,K
icsd_9839,0.144744,0.148096,0.163403,O
icsd_36470,0.057981,0.060071,0.066044,Li
icsd_202993,0.058574,0.064642,0.100023,Cu
icsd_247476,0.122979,0.127084,0.131873,O
icsd_68489,0.083813,0.086704,0.085095,Na
icsd_202370,0.153263,0.150047,0.172963,O
icsd_33748,0.225533,0.232817,0.270743,O
icsd_22244,0.09306,0.106004,0.105403,K
icsd_237948,0.114874,0.118728,0.118012,O
icsd_194201,0.115484,0.11624,0.13288,O
icsd_31373,0.14636,0.151189,0.165216,O
icsd_428043,0.214971,0.21405,0.233638,F
icsd_174058,0.161341,0.0594,0.054245,Li
icsd_30808,0.170526,0.176105,0.206444,O
icsd_9082,0.087384,0.090385,0.098555,Li
icsd_291306,0.157549,0.162725,0.148343,O
icsd_425786,0.045409,0.0647,0.053957,O
icsd_15876,0.140781,0.147395,0.187096,O
icsd_86441,0.116848,0.145857,0.132098,K
icsd_75131,0.178591,0.160695,0.188228,O
icsd_100622,0.115174,0.119037,0.13022,O
icsd_248058,0.268866,0.266051,0.302693,O
icsd_80107,0.073724,0.077129,0.083704,Cu
icsd_245418,0.141893,0.146584,0.160203,K
icsd_65666,0.08886,0.091907,0.10069,Na
icsd_251938,0.145892,0.151981,0.161232,O
icsd_36460,0.093622,0.095598,0.103758,O
icsd_200908,0.109821,0.102335,0.114259,K
icsd_603516,0.058395,0.060498,0.066502,Cu
icsd_10007,0.088647,0.115397,0.127994,K
icsd_236882,0.136476,0.146968,0.160621,O
icsd_428600,0.127005,0.131235,0.143496,O
icsd_74216,0.10497,0.107245,0.118768,O
icsd_26043,0.078246,0.078239,0.081977,Al
icsd_165327,0.064824,0.067126,0.036661,Li
icsd_423762,0.121284,0.125337,0.168414,F
icsd_239874,0.047263,0.049021,0.05401,Ag
icsd_185829,0.078231,0.080949,0.091008,Zn
icsd_195708,0.146975,0.151824,0.165907,O
icsd_18156,0.150434,0.172554,0.10545,O
icsd_192517,0.127245,0.131482,0.144849,O
icsd_237415,0.154881,0.159974,0.174778,O
icsd_25510,0.105346,0.108904,0.11126,O
icsd_428746,0.066289,0.106232,0.108787,Li
icsd_98732,0.114433,0.113504,0.129387,O
icsd_300171,0.128609,0.132889,0.140635,K
icsd_418145,0.112698,0.116484,0.118757,F
icsd_421481,0.058818,0.060933,0.066976,Li
icsd_85457,0.095928,0.102541,0.108622,O
icsd_156156,0.10526,0.103615,0.119094,F
icsd_33745,0.232776,0.240285,0.280697,O
icsd_9923,0.073367,0.075933,0.083303,Li
icsd_89001,0.136602,0.141129,0.13296,O
icsd_63052,0.094503,0.091699,0.115595,Ca
icsd_202871,0.109762,0.089378,0.097937,Na
icsd_422986,0.146465,0.151298,0.140653,O
icsd_419588,0.129621,0.151101,0.16512,O
icsd_15335,0.15286,0.157891,0.144654,O
icsd_247622,0.098789,0.102144,0.037796,F
icsd_26147,0.14814,0.162011,0.167215,K
icsd_63393,0.069258,0.070277,0.077146,Zn
icsd_237367,0.126079,0.130279,0.142457,O
icsd_2121,0.08176,0.089379,0.097939,Li
icsd_281608,0.118737,0.148355,0.1626,O
icsd_5278,0.138334,0.142914,0.156209,O
icsd_156656,0.127783,0.108137,0.086793,Na
icsd_86486,0.147698,0.152569,0.211773,O
icsd_73812,0.231419,0.171119,0.259521,F
icsd_245791,0.078108,0.093531,0.096688,Ag
icsd_159558,0.151678,0.175058,0.195639,O
icsd_191451,0.142438,0.143963,0.157351,O
icsd_164492,0.283234,0.292306,0.317154,O
icsd_239314,0.122103,0.126181,0.124906,O
icsd_88589,0.1418,0.135554,0.158633,O
icsd_416929,0.12199,0.126064,0.137868,F
icsd_169660,0.143232,0.147964,0.161706,O
icsd_240620,0.194748,0.203036,0.217001,O
icsd_260800,0.141962,0.149971,0.16389,O
icsd_236431,0.16187,0.16718,0.183414,O
icsd_180895,0.090457,0.146941,0.090811,O
icsd_22348,0.149894,0.154833,0.207004,O
icsd_290224,0.140043,0.163505,0.184976,O
icsd_252061,0.116912,0.120829,0.056617,Zn
icsd_425216,0.078872,0.081609,0.09377,O
icsd_16229,0.080003,0.083564,0.082588,Li
icsd_183500,0.121542,0.125602,0.137366,F
icsd_193783,0.056956,0.068856,0.060473,Zn
icsd_194597,0.070754,0.083367,0.089912,Li
icsd_421311,0.131659,0.137209,0.133609,O
icsd_92852,0.174374,0.159295,0.174039,O
icsd_169738,0.141249,0.14592,0.15261,O
icsd_164555,0.075793,0.078435,0.085352,O
icsd_42782,0.064092,0.066371,0.072477,Zn
icsd_248753,0.140547,0.145197,0.200533,O
icsd_281126,0.033928,0.035272,0.039046,Li
icsd_239001,0.108396,0.110923,0.121388,O
icsd_66638,0.113988,0.097525,0.128889,Ca
icsd_4433,0.144876,0.139021,0.163551,Ag
icsd_245970,0.107519,0.057029,0.109567,Li
icsd_163790,0.130333,0.13465,0.151953,O
icsd_427037,0.150339,0.148458,0.169682,O
icsd_250242,0.090672,0.093775,0.123159,Na
icsd_10289,0.112532,0.116312,0.163401,K
icsd_91233,0.164825,0.170222,0.139273,O
icsd_250794,0.162808,0.168147,0.183674,Ag
icsd_98807,0.103034,0.106521,0.116596,Na
icsd_95671,0.183909,0.189903,0.037733,Ag
icsd_252266,0.154406,0.159485,0.174071,O
icsd_262857,0.048684,0.050486,0.055605,Cu
icsd_427784,0.105174,0.108727,0.118997,K
icsd_245819,0.107232,0.110848,0.107834,O
icsd_79554,0.119274,0.123264,0.13482,O
icsd_85021,0.054124,0.056094,0.061709,Na
icsd_250481,0.142757,0.186203,0.216965,O
icsd_67691,0.075884,0.078529,0.084242,Mg
icsd_22065,0.086035,0.088994,0.099974,O
icsd_160372,0.130579,0.13321,0.147507,O
icsd_71355,0.044888,0.046572,0.034447,Cu
icsd_26606,0.146635,0.151473,0.2174,F
icsd_36262,0.168202,0.173709,0.200785,O
icsd_15489,0.113352,0.137075,0.164427,O
icsd_238666,0.169262,0.217307,0.158112,O
icsd_1726,0.07281,0.075359,0.072255,Li
icsd_42104,0.056962,0.062397,0.064894,Cu
icsd_164433,0.087129,0.090123,0.098748,Ag
icsd_65527,0.122932,0.127036,0.138926,K
icsd_73814,0.084581,0.108433,0.095888,Na
icsd_252028,0.121341,0.12169,0.137141,O
icsd_174059,0.089097,0.072813,0.079907,Li
icsd_84563,0.101382,0.112749,0.125361,Na
icsd_28012,0.134143,0.138594,0.198842,O
icsd_95406,0.030678,0.031926,0.030788,Mg
icsd_73160,0.091856,0.061581,0.097601,Na
icsd_14130,0.147236,0.152092,0.178024,F
icsd_152075,0.177068,0.190552,0.210202,O
icsd_4036,0.040005,0.041538,0.044752,Mg
icsd_191615,0.124142,0.128283,0.140283,O
icsd_156680,0.107761,0.100355,0.167785,K
icsd_79689,0.093161,0.096341,0.10929,K
icsd_424541,0.093517,0.138967,0.073828,O
icsd_165012,0.142503,0.147213,0.163157,O
icsd_64678,0.101066,0.104491,0.116775,Na
icsd_237337,0.155168,0.160271,0.231564,O
icsd_238933,0.239157,0.197198,0.245112,O
icsd_159537,0.135994,0.153075,0.167269,O
icsd_94228,0.101434,0.104871,0.131566,O
icsd_25604,0.14162,0.146302,0.159897,K
icsd_250712,0.12856,0.124281,0.145241,O
icsd_73064,0.082797,0.114494,0.093886,Na
icsd_413682,0.068973,0.031297,0.044207,Cu
icsd_81174,0.109473,0.113159,0.081078,O
icsd_250861,0.183874,0.177728,0.199326,O
icsd_280698,0.062442,0.044382,0.051239,Cu
icsd_159527,0.141311,0.152272,0.171131,O
icsd_8075,0.072817,0.070132,0.070847,Ag
icsd_74342,0.095795,0.099057,0.058176,Ca
icsd_67445,0.070986,0.073479,0.080632,F
icsd_92635,0.156071,0.161202,0.17907,O
icsd_159073,0.109651,0.133817,0.16191,O
icsd_93464,0.086915,0.120966,0.098507,O
icsd_180904,0.257694,0.265975,0.277367,O
icsd_154262,0.097813,0.104912,0.123122,K
icsd_247861,0.100614,0.104026,0.092545,O
icsd_94174,0.137672,0.142233,0.155467,O
icsd_404014,0.103367,0.120723,0.101168,Cu
icsd_90908,0.167814,0.159227,0.171927,O
icsd_18105,0.141359,0.146033,0.14578,O
icsd_414411,0.070789,0.074144,0.075195,Cu
icsd_165009,0.142615,0.147328,0.16326,O
icsd_97255,0.112883,0.139213,0.16195,O
icsd_195918,0.136728,0.141259,0.11937,O
icsd_251539,0.108336,0.110935,0.121401,O
icsd_108808,0.166434,0.171886,0.210217,O
icsd_158512,0.135875,0.159261,0.174002,O
icsd_40530,0.072873,0.075424,0.098181,Al
icsd_42808,0.063865,0.066137,0.072493,Zn
icsd_627517,0.057765,0.059848,0.065795,Cu
icsd_251155,0.082884,0.085746,0.07287,Li
icsd_200155,0.053162,0.083433,0.068166,Li
